Num,Rad,GyrRad,Err,lnN,lnR,lnErr
10,4.824046667,2.988733333,0.603566822,2.302585093,1.573613133,-0.50489852
100,27.62693333,15.1914,2.424134873,4.605170186,3.318791142,0.885474707
200,45.64,23.18336667,2.707396593,5.298317367,3.820784525,0.995987506
300,62.44416667,31.56253333,5.674044452,5.703782475,4.134272824,1.735902171
400,78.20786667,38.65946667,7.848537589,5.991464547,4.359370239,2.06032722
500,86.70383333,43.77083333,8.08684428,6.214608098,4.462498097,2.090238578
600,94.59893333,48.48166667,8.327874243,6.396929655,4.5496462,2.119608231
700,102.0411,53.9278,7.413358228,6.551080335,4.625375673,2.003283539
800,113.5546667,58.10073333,8.50530443,6.684611728,4.732284366,2.140690019
900,125.6536667,62.4937,10.71970027,6.802394763,4.833529445,2.372083195
1000,134.9563333,66.81076667,13.72627651,6.907755279,4.904951269,2.619311989
