,,,,,
N,R,Std err,lnN,lnR,lnErr
10,3.67015666666667,0.313541570042067,2.30258509299405,1.30023434962038,0.0370766301706259
100,11.3330333333333,0.530171030056444,4.60517018598809,2.42772176500946,0.0203029692295823
200,16.2267666666667,0.920005410008248,5.29831736654804,2.78666214212738,0.0246064022578073
300,19.1874,1.44521591120497,5.7037824746562,2.95425381360745,0.0326893537145708
400,23.1476666666667,0.65253362706028,5.99146454710798,3.14189398351575,0.0122344769441482
500,24.6578,0.574599999999999,6.21460809842219,3.20509328045556,0.0101134894435027
600,25.7612333333333,0.715890392758866,6.39692965521615,3.24887077793684,0.0120606193980366
700,29.8937,1.87545777611761,6.5510803350434,3.39764775585465,0.0272281007314264
800,31.7044666666667,1.55333439234585,6.68461172766793,3.45645757526841,0.021263474745244
900,34.3964,1.33325149915535,6.80239476332431,3.53795190774025,0.0168224334707534
1000,36.8365666666667,1.74203225030741,6.90775527898214,3.60649101124244,0.0205242253838374
1100,39.1635333333333,1.61476485112986,7.00306545878646,3.66774604171593,0.0178944003705069
1200,40.4807333333333,1.3498111773298,7.09007683577609,3.70082614075715,0.014471527631115
1300,42.7016666666667,1.98762967403667,7.17011954344963,3.75423795147909,0.0202013491713496
1400,44.4017333333333,2.0189863185382,7.24422751560335,3.79327850771521,0.019734366126373
1500,46.3223,1.71912895676851,7.3132203870903,3.83562348660885,0.0161067556498174
1600,47.8522333333333,1.89220873613645,7.37775890822787,3.86811779044266,0.0171615520170752
1700,48.9548,2.05276606639269,7.43838353004431,3.89089742341315,0.0181984294249885
1800,50.7504333333333,2.42149474246338,7.49554194388426,3.92692015647329,0.0207077782238136
1900,52.2647666666667,1.87919511168419,7.54960916515453,3.95632246654663,0.0156045980970789
2000,54.6619333333333,2.00920682055825,7.60090245954208,4.00116755004151,0.0159525232085146
2100,56.4161333333333,2.29741357569284,7.64969262371151,4.03275516960839,0.017673623358047
2200,57.0263333333333,1.99990983907886,7.69621263934641,4.0435131494549,0.0152203520623845
2300,57.7612333333333,1.82208516937174,7.74066440191724,4.05631784708052,0.0136905830757423
2400,58.6816333333333,2.49658651584741,7.78322401633604,4.07212678747046,0.018464355648095
2500,60.3150666666667,1.88345447368511,7.82404601085629,4.09958193432498,0.0135524884038815
2600,61.9632333333333,2.47205579921741,7.86326672400957,4.12654119839198,0.0173146583731163
2700,63.9626666666667,2.83842577105299,7.90100705199242,4.15829957982126,0.0192593093570781
2800,64.8678333333333,2.39773629515656,7.9373746961633,4.17235186653357,0.0160421197783896
2900,66.4840666666667,3.30662247887142,7.97246601597457,4.19696231995589,0.0215852342941847
3000,67.5863,3.49447976862556,8.00636756765025,4.21340529978816,0.0224395213169458
3100,68.6076,3.78565821137267,8.03915739047324,4.22840331576741,0.0239474294937549
3200,70.6179666666667,3.70372941881258,8.07090608878782,4.25728459748684,0.022762175741367
3300,71.5369333333333,4.59004551950317,8.10167774745457,4.27021386645043,0.0278468710167108
3400,72.3742333333333,4.29953450051411,8.13153071060425,4.28185034286066,0.025782628530639
3500,74.0173,3.59003672543889,8.16051824747751,4.30429884966478,0.0210501590687647
3600,74.7982333333333,3.66666075393463,8.1886891244442,4.31479426616319,0.021274977981311
3700,75.9412333333333,3.53039522921223,8.21608809863232,4.32995979556371,0.0201760158773399
3800,77.4523333333333,4.47996577826711,8.24275634571448,4.3496626933727,0.0251032482055793
3900,78.1468,4.43893504457995,8.26873183211774,4.35858910913215,0.0246522929838163
4000,79.2795666666667,4.20820047697878,8.29404964010203,4.37298042414739,0.0230369448749357
4100,79.7696,4.1117194728402,8.3187422526924,4.37914247949402,0.02237050519512
4200,80.5964333333333,4.31362220580853,8.34283980427146,4.38945439708598,0.0232282243753661
4300,81.2980333333333,4.10048051872515,8.36637030168165,4.39812182601927,0.0218899335218857
4400,82.203,4.08255693693711,8.38935981990635,4.40919179774652,0.0215543193147538
4500,83.6847666666667,4.70067662694544,8.41183267575841,4.42705696172806,0.0243783156404131
4600,84.6198666666667,4.71570407692331,8.43381158247719,4.43816906961905,0.0241859937861485
4700,85.5064,4.43441308893672,8.45531778769815,4.44859122694248,0.0225074997964894
4800,86.2536333333333,4.70702585232378,8.47637119689598,4.45729218062808,0.0236842106350904
4900,88.3496666666667,5.11538260847721,8.49699048409872,4.48130242588555,0.0251282900755608
5000,89.4867333333333,4.98932165373655,8.51719319141624,4.49409038338105,0.0241976158595017
