Num Part,Avg Radius,Std Dev,ln(num),ln(rad),ln(dev)
10,3.633488,0.664814540936042,2.30258509299405,1.2901930684683,0.408247163032626
100,14.43585,0.582991820506753,4.60517018598809,2.66971469603662,0.539582122735636
200,20.69737,1.73815856523186,5.29831736654804,3.03000663905929,0.552826256992225
300,26.36013,3.51868510259475,5.7037824746562,3.27185264133686,1.25808736942346
400,30.23703,2.91019671960123,5.99146454710798,3.40906733220228,1.06822068013608
500,34.34096,3.23164125559891,6.21460809842219,3.53633881081533,1.1729901368493
600,38.90445,3.42277579726358,6.39692965521615,3.66110863996858,1.2304518585024
700,42.66885,3.81071102179982,6.5510803350434,3.75346914581727,1.33781579162225
800,46.23007,3.58719549541607,6.68461172766793,3.83363045216728,1.27737069815675
900,50.5675,4.15363422853342,6.80239476332431,3.92330907744511,1.42398366874445
1000,54.08524,3.87087862325855,6.90775527898214,3.99056132053196,1.35348151570701
