Num,Rad,Err,lnN,lnR,lnErr
10,2.544806667,0.308736667,2.302585093,0.934054681,-1.175266577
100,10.02871333,0.461182058,4.605170186,2.305452312,-0.773962394
200,15.82103333,0.11865668,5.298317367,2.761340278,-2.131520995
300,19.40836667,1.468923974,5.703782475,2.965704245,0.384530142
400,22.67613333,1.750238809,5.991464547,3.121312976,0.559752241
500,25.23193333,1.959825661,6.214608098,3.228110388,0.672855521
600,27.67643333,2.083458484,6.396929655,3.320581269,0.734029246
700,28.5387,1.761927695,6.551080335,3.351261061,0.566408491
800,30.35913333,2.039882203,6.684611728,3.413097406,0.712892062
900,32.44196667,2.219602597,6.802394763,3.479452852,0.797328169
1000,34.607,2.043826143,6.907755279,3.544055974,0.714823612
1100,36.89653333,2.270634511,7.003065459,3.608117599,0.820059313
1200,37.96253333,2.693688479,7.090076836,3.636599708,0.990911436
1300,39.29836667,2.736068944,7.170119543,3.671182957,1.006522198
1400,40.7631,2.890077848,7.244227516,3.70777726,1.061283439
1500,42.5587,3.446535702,7.313220387,3.750884299,1.237369582
1600,43.6499,3.293030374,7.377758908,3.776200991,1.191808227
1700,45.014,3.347157431,7.43838353,3.806973552,1.208111458
1800,46.02693333,3.305607651,7.495541944,3.829226732,1.195620314
1900,48.60886667,2.102943886,7.549609165,3.883805956,0.743338214
2000,48.68153333,2.094563213,7.60090246,3.885299766,0.739345042
2100,49.579,2.112393269,7.649692624,3.903567357,0.747821555
2200,51.11423333,2.273165829,7.696212639,3.934062997,0.821173498
2300,52.86383333,2.354159331,7.740664402,3.967719425,0.856183692
2400,54.45643333,1.892623974,7.783224016,3.997400994,0.637964212
2500,55.26816667,1.838790394,7.824046011,4.012197095,0.609107961
2600,56.74643333,1.757338894,7.863266724,4.038592806,0.563800673
2700,58.59153333,2.27637044,7.901007052,4.070590204,0.822582262
2800,60.03143333,2.667182821,7.937374696,4.094868314,0.981022792
2900,61.1379,3.09493768,7.972466016,4.113131968,1.12976777
3000,62.2603,2.914778854,8.006367568,4.131323984,1.069793952
3100,62.82186667,2.805895864,8.03915739,4.140303208,1.031722869
3200,63.59616667,2.874738178,8.070906089,4.152553196,1.055961602
3300,64.59366667,2.798081694,8.101677747,4.168116367,1.028934073
3400,65.61083333,2.437546527,8.131530711,4.183740825,0.890992012
3500,66.3941,2.842225117,8.160518247,4.195608197,1.044587237
3600,68.45053333,3.501614751,8.188689124,4.226111343,1.25322422
3700,68.8652,3.481881495,8.216088099,4.232150971,1.247572807
3800,69.7551,3.308465678,8.242756346,4.244990536,1.196484541
3900,70.0096,3.315601843,8.268731832,4.248632376,1.198639159
4000,70.51593333,3.068907378,8.29404964,4.255838689,1.121321595
4100,71.4245,3.071863547,8.318742253,4.268640948,1.122284396
4200,72.14493333,2.896218883,8.342839804,4.278677059,1.063406053
4300,73.08403333,2.650961294,8.366370302,4.291609921,0.974922327
4400,74.3361,3.377119568,8.38935982,4.308596702,1.217023147
4500,75.0821,3.416274509,8.411832676,4.318582181,1.228550633
4600,76.22756667,3.392830243,8.433811582,4.333723165,1.221664453
4700,76.22756667,3.392830243,8.455317788,4.333723165,1.221664453
4800,77.02566667,3.394862486,8.476371197,4.3441387,1.222263255
4900,77.60606667,3.106188783,8.496990484,4.351645603,1.133396503
5000,77.99616667,2.909932334,8.517193191,4.35665968,1.068129828
